questionname,questiontext,A,B,C,D,Answer 1,Answer 2
Que No 30,Business benefits of green chemistry include?,Reduced costs associated with waste treatment and disposal,Innovating greener products to entice customers,Greater compliance with environmental legislation,All of the mentioned,d,
Que No 31,Substances and energy sources needed for survival are called as……,Man Made Resources ,Natural Resources ,Artificial Resources ,Fuel Resources ,b,
Que No 32,Environmental Engineer is a enginneer who…..,Solve Environmental Problems using Sharp Tools. ,Solve Environmental Problems using Scientific Tools. ,Solve Environmental Problems using Power Tools. ,Solve Environmental Problems using Fitting Tools. ,a,
Que No 33,The study of how humans interact with their environment is called as,Environmental Science ,Social Science ,Material Science ,Moleculer Science ,a,
Que No 34,…..are the things around us with which we interact.,Living Things ,Non-Living Things ,Our Built Environment ,All of the Above ,d,
Que No 35,…….is Renewable Resources.,"Oil, ","coal, ",minerals ,Sunlight ,d,
Que No 36,…….is Non-Renewable Resources.,Sunlight ,Tidal Waves ,Coal ,Wind Energy ,c,
Que No 37,In Environmental Science the natural world works on ….,Engineering ,Political Science ,Biology ,All of the Above ,d,
Que No 38,In…….the perception of what constitutes a problem varies between individuals and societies.,Machine Problem ,Enviromental Problem ,Personal Problem ,No Problem ,b,
Que No 39,Expanded food production is result of …..,Reduced population. ,Increased GDP ,Increased population and consumption ,Reduced GDP ,c,
Que No 40,…… is challenges of pollution.,Waste products and artificial chemicals ,Natural wool ,Wood ,Cotton ,a,
Que No 41,…… is challenges in biodiversity.,Growing Biodiversity ,conservation of wild animals ,increase in aqua life ,extinction of species ,d,
Que No 42,We do not run ……. On fuels,Machines ,Trees ,Pumps ,Chemical Plants. ,b,
Que No 43,Sustainable Solutions include……,Organic agriculture Technology ,Reduces pollution Biodiversity ,Recycling Alternative fuels ,All of the Above ,d,
Que No 44,…..are the goals for sustainable development.,Environmental goals ,Economic goals ,Social goals ,All of the Above ,d,
Que No 45,Environmental science helps us understand our relationship with the…,Environment ,Human beings ,Animals ,Fules ,a,
Que No 46,Solving environmental problems can move us towards….,Economical life ,Peaceful life ,Regulated Life ,Reduced Life ,b,
Que No 47,Environmental science can help us find…..to environmental problems.,balanced solutions ,Design Solutions ,Scientific Solutions ,Logical Solutions ,a,
Que No 48,…..are sustainable development goals Indicators.,No poverty ,Zero Hunger ,Quality Education ,All of the Above ,d,
Que No 49,To achieve universal and equitable access to safe and affordable drinking water for all?…….. indicator is used.,Proportion of salt in sea water. ,Proportion of population using safely managed drinking water services? ,Proportion of toxins in sea water.? ,Proportion of total dissolved solids.? ,b,
Que No 50,"Suitable Indicator used for ensure universal access to affordable, reliable and modern energy services? is…..",Proportion of population with access to Internet ,Proportion of population with access to voting ,Proportion of population with access to electricity ? ,Proportion of population with access to personal bank account.? ,b,
Que No 51,Sustainable Development Goals 1 to 6 addresses…,social development ,Economic development ,Environment issues ,All of the Above ,a,
Que No 52,Sustainable Development Goals 7-11 are on….,social development ,Economic development ,Environment issues ,All of the Above ,b,
Que No 53,Sustainable Development Goals 12 to 15 are on……,social development ,Economic development ,Environment issues ,All of the Above ,c,
Que No 54,The Sustainable Development Goals? 2030 agenda is Implemented on…,"January 1, 2016 ","January 1, 2017 ","January 1, 2018 ","January 1, 2019 ",a,
Que No 55,2030 Agenda for Sustainable Development builds on….,Vision and Principles ,Result framework ,Followup and Review ,All of the Above ,d,
Que No 56,State Strategy for Achieving SDGs …..,Identification of Indicators ,Mapping of Departments ,Outcome based monitoring ,All of the Above ,d,
Que No 57,Which is not a Major National Programmes/ Initiatives aligning with SDGs?…..,National Food Security Mission ,"Beti Bachao, Beti Padhao ? ",National Rural Finance Yojana ,Pradhan Mantri Ujjwala Yojana ? ,c,
Que No 58,Extensive use of Information Technology? in Sustainable Development are….,Increase openness and leverage existing data. ,Improve the effective use of data. ,Enable data for action and decision making? ,All of the Above ,d,
Que No 59,Sustainable Development Goal (SDG) monitoring does not includes….,Inclusion ,Participation ,Ordering ,Growth ,c,
Que No 60,The Fundamental role of UNWTO is….,promotion and development of tourism ,promotion and development of Manpower ,promotion and development of Art ,promotion and development of design ,a,
Que No 61,Tourism as the services trade is multi facetted…… phenomenon.,social ,cultural ,economic ,All of the Above ,d,
Que No 62,….is not an UNWTO PROGRAMATIC PRIORITIES 2018-21,Smarter Tourism ,Tourism growth ,Create Decent jobs ,To make pollution free ,d,
Que No 63,…….is not a Materials Management Function,Material Planninng ,Purchasing ,Inventory Control ,Wages ,d,
Que No 64,Inventory control does not covers….,Setting the inventory levels ,EOQ ,Direct Labour cost ,Lead time analysis ,c,
Que No 65,……. is not a advantage of Integrated concept,Better accountability ,Better coordination ,Better Life ,Better performance ,c,
Que No 66,……. Is not a principle of Green Engineering.,Design for Separation ,Maximum Efficiency ,Minimize material life expectency ,Minimize material diversity ,c,
Que No 67,"Large wastes such as appliances, furniture, trees and branches that cannot be handled by normal waste management processing methods are…..",Natural Waste ,Bulky Waste ,Marine Waste ,Artificial Waste. ,b,
Que No 68,the final disposal of solid waste by placinng in a controlled fashion in a place intended to be permanent is called as….,Landfilling ,Waste Disposal ,Recycle ,Reuse ,a,
Que No 69,A facility that uses solid waste materials to produce energy is called...,economical plant. ,Thermal Plant ,Waste to energy plant ,Hydroelectric Power plant. ,c,
Que No 70,"Domestic, commercial and industrial wastes especially common as co-disposal of wastes are called as….",Liquid Waste ,Solid Wastes ,Chemical Waste ,Toxic Waste. ,b,
Que No 71,….are not a biodegradable materials.,Paper ,Wood ,Plastics ,Fruits ,c,
Que No 72,"waste that is reactive, toxic, corrosive, or otherwise dangerous to living things and environment are…..",Solid Waste ,Liquid Waste ,Hazardous Waste ,Artificial Waste. ,c,
Que No 73,"Substances safe to use commercially, industrially, agriculturally is….",Non- Hazardous Waste ,Artificial Waste. ,Hazardous Waste ,Liquid Waste ,a,
Que No 74,….is not a characteristics of solid waste.,Physical ,Chemical ,Mechanical ,Biological ,c,
Que No 75,…... includes the determination of percent contents of various ingredients of the solid waste.,Physical Characteristics ,Chemical Characteristics ,Biological Characteristics ,Mechanical Characteristics ,a,
Que No 76,…..is used primarily for combustion and waste to energy (WTE) calculations but can also be used to estimate biological and chemical behaviours.,Physical Characteristics ,Chemical Characteristics ,Biological Characteristics ,Mechanical Characteristics ,b,
Que No 77,"In …… ,Volatile Combustible Matter (VCM) (temp increased to 950 C, closed crucible is processed.",Ultimate Analysis ,Proximate Analysis ,Fusion Point ,Energy Content ,b,
Que No 78,Organic fraction often equated with the volatile solids (VS) content of the waste is called as…..,Solid Waste ,Liquid Waste ,Hazardous Waste ,Biodegradability ,d,
Que No 79,…… is not the way of Solid waste collection and transport.,Containers ,Waste Bags ,Dust Bins ,wooden Box ,d,
Que No 80,….is not under Municipal Collection Services of solid waste,Curb ,Garden Pickup ,Alley ,Set out ans set back ,b,
Que No 81,The ……. Method in which the house owner is responsible for placing solid waste container at the curb on schedule day.,Alley ,Crub ,Set out ans set back ,Garden Pickup ,b,
Que No 82,…… is not a treatment and disposal of solid waste,Composting ,Landfilling ,Disposing in water bodies. ,Recycling ,c,
Que No 83,….. is a process in which organic matter of solid waste is decomposed and converted to humus and mineral compounnds.,Composting ,Landfilling ,Disposing in water bodies. ,Recycling ,a,
Que No 84,…...is a waste treatment process that involves the combustion of organic substances contained in waste materials.,Incineration ,Composting ,Landfilling ,Disposing in water bodies. ,a,
Que No 85,Heating of the solid waste at very high temp. in absence of air is…..,Composting ,Pyrolysis ,Incineration ,Landfilling ,b,
Que No 86,…….is processing used materials into new products.,Reuse ,Reduce ,Recycling ,Reconnect ,c,
Que No 87,"……. reduce the consumption of fresh raw materials, reduce energy usage, reduce air pollution and water pollution.",Reuse ,Reduce ,Recycling ,Reconnect ,c,
